pattern,stream_id,stream_seed,beta,max_abs_diff,tol,pass
P3-n6,9,20262237,0.1,0.0,1e-12,True
P3-n6,9,20262237,0.3,0.0,1e-12,True
P3-n6,9,20262237,0.5,0.0,1e-12,True
P3-n6,10,20262238,0.1,0.0,1e-12,True
P3-n6,10,20262238,0.3,0.0,1e-12,True
P3-n6,10,20262238,0.5,0.0,1e-12,True
P3-n6,11,20262239,0.1,0.0,1e-12,True
P3-n6,11,20262239,0.3,0.0,1e-12,True
P3-n6,11,20262239,0.5,0.0,1e-12,True
P3-n6,12,20262240,0.1,0.0,1e-12,True
P3-n6,12,20262240,0.3,0.0,1e-12,True
P3-n6,12,20262240,0.5,0.0,1e-12,True
P3-n6,13,20262241,0.1,0.0,1e-12,True
P3-n6,13,20262241,0.3,0.0,1e-12,True
P3-n6,13,20262241,0.5,0.0,1e-12,True
P3-n6,14,20262242,0.1,0.0,1e-12,True
P3-n6,14,20262242,0.3,0.0,1e-12,True
P3-n6,14,20262242,0.5,0.0,1e-12,True
