condition,beta,samples,u_diff_mean,u_diff_sd,u_diff_min,u_diff_max,tau_diff_mean,tau_diff_sd,tau_diff_min,tau_diff_max,osc_diff_mean,osc_diff_sd,faster_rate,u_worse_rate
D-dependent,0.1,45,0.012342605818164891,0.009661554766762262,-0.008035294512195534,0.03697825808026978,-0.4444444444444444,1.7708197167232476,-10.0,3.0,0.009663299663299655,0.032466992317313995,0.15555555555555556,0.1111111111111111
D-dependent,0.3,45,0.029628536886391436,0.030947359204348615,-0.033252882380547355,0.1183683880876022,-1.5333333333333334,3.131204950884634,-10.0,10.0,0.016666666666666663,0.05831616783601663,0.5777777777777777,0.2
D-dependent,0.5,45,0.03785597661456132,0.05051169554809652,-0.05453651824842709,0.2038433138386574,-1.8444444444444446,3.3529791433593004,-11.0,9.0,0.011077441077441068,0.06971586789772621,0.6444444444444445,0.24444444444444444
D-independent,0.1,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D-independent,0.3,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D-independent,0.5,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D-mismatch,0.1,45,-0.01434547798792085,0.008500813045166106,-0.029869581872144835,0.0054010168245844925,0.3111111111111111,1.0071350394333032,0.0,6.0,0.0028619528619528507,0.026803334782369757,0.0,0.9333333333333333
D-mismatch,0.3,45,-0.04526157675962518,0.023080800475793008,-0.09365580415751484,0.01395099407538547,1.4666666666666666,2.825282680055612,0.0,11.0,0.01198653198653198,0.07185420272014946,0.0,0.9777777777777777
D-mismatch,0.5,45,-0.07621706512097065,0.036413689860339216,-0.1663470247457649,0.015520377603513769,1.8666666666666667,2.9257477676655586,0.0,11.0,0.021515151515151515,0.08509919669560291,0.0,0.9777777777777777
