pattern,condition,stream_id,stream_seed,beta,u_diff_cp_minus_base,mean_l1_diff_cp_minus_base,terminal_l1_diff_cp_minus_base,tau_diff_cp_minus_base,osc_rate_diff_cp_minus_base
P1-n4,D-dependent,6,20260234,0.3,0.016794348358957212,-0.0335886967179142,-0.14508657174637146,0.0,0.045454545454545414
P1-n4,D-dependent,6,20260234,0.5,0.02425053541476152,-0.04850107082952304,-0.23445589181865312,0.0,0.045454545454545414
P1-n4,D-independent,6,20260234,0.1,0.0,0.0,0.0,0.0,0.0
P1-n4,D-independent,6,20260234,0.3,0.0,0.0,0.0,0.0,0.0
P1-n4,D-independent,6,20260234,0.5,0.0,0.0,0.0,0.0,0.0
P1-n4,D-mismatch,6,20260234,0.1,-0.003718379028895491,0.007436758057791204,0.024584365550084253,1.0,0.045454545454545414
P1-n4,D-mismatch,6,20260234,0.3,-0.015591140164107342,0.031182280328214906,0.06078472316995115,1.0,0.06818181818181818
P1-n4,D-mismatch,6,20260234,0.5,-0.03381475486593288,0.06762950973186588,0.14494944823527028,1.0,0.045454545454545414
P1-n4,D-dependent,7,20260235,0.1,0.015529784375847733,-0.031059568751695688,-0.07258048047288601,0.0,0.0
P1-n4,D-dependent,7,20260235,0.3,0.04980854478264085,-0.09961708956528181,-0.24067314410450863,-1.0,-0.022727272727272707
P1-n4,D-dependent,7,20260235,0.5,0.08217718614080027,-0.16435437228160066,-0.43740492886177623,-1.0,-0.045454545454545414
P1-n4,D-independent,7,20260235,0.1,0.0,0.0,0.0,0.0,0.0
P1-n4,D-independent,7,20260235,0.3,0.0,0.0,0.0,0.0,0.0
P1-n4,D-independent,7,20260235,0.5,0.0,0.0,0.0,0.0,0.0
P1-n4,D-mismatch,7,20260235,0.1,-0.01454807808531755,0.02909615617063488,0.06507327579181582,0.0,0.04545454545454547
P1-n4,D-mismatch,7,20260235,0.3,-0.04125687653472365,0.0825137530694473,0.18122769125651522,0.0,0.04545454545454547
P1-n4,D-mismatch,7,20260235,0.5,-0.06577848285988086,0.1315569657197615,0.288583778190242,0.0,0.09090909090909088
P1-n4,D-dependent,8,20260236,0.1,0.0011601592436710773,-0.0023203184873422655,-0.0915486297003344,0.0,0.06818181818181818
P1-n4,D-dependent,8,20260236,0.3,-0.006475299740328122,0.012950599480656022,-0.28421891572464497,-2.0,0.06818181818181818
P1-n4,D-dependent,8,20260236,0.5,-0.02599948190581225,0.05199896381162428,-0.49939660719147727,-2.0,0.045454545454545414
P1-n4,D-independent,8,20260236,0.1,0.0,0.0,0.0,0.0,0.0
P1-n4,D-independent,8,20260236,0.3,0.0,0.0,0.0,0.0,0.0
P1-n4,D-independent,8,20260236,0.5,0.0,0.0,0.0,0.0,0.0
P1-n4,D-mismatch,8,20260236,0.1,-0.008043110511123608,0.016086221022247216,0.08980831565646907,0.0,0.045454545454545414
P1-n4,D-mismatch,8,20260236,0.3,-0.0169225478520465,0.03384509570409289,0.17223488789875463,0.0,-0.06818181818181823
P1-n4,D-mismatch,8,20260236,0.5,-0.028718833271864863,0.057437666543729504,0.21230422909700775,0.0,-0.022727272727272763
