pattern,condition,stream_id,stream_seed,system,beta,turn,candidate,weight,operator,target,turn_violations,turn_opportunities
P1-n4,D-dependent,0,20260228,coupled,0.1,2,3,0.22978425233158306,sigma,1,2,3
P1-n4,D-dependent,0,20260228,coupled,0.1,3,0,0.149131475030689,delta,1,2,3
P1-n4,D-dependent,0,20260228,coupled,0.1,3,1,0.2733783783783784,delta,1,2,3
P1-n4,D-dependent,0,20260228,coupled,0.1,3,2,0.2961088350005486,delta,1,2,3
P1-n4,D-dependent,0,20260228,coupled,0.1,3,3,0.281381311590384,delta,1,2,3
P1-n4,D-dependent,0,20260228,coupled,0.1,4,0,0.16394837502597107,delta,1,2,3
P1-n4,D-dependent,0,20260228,coupled,0.1,4,1,0.1733783783783784,delta,1,2,3
P1-n4,D-dependent,0,20260228,coupled,0.1,4,2,0.327718978634425,delta,1,2,3
P1-n4,D-dependent,0,20260228,coupled,0.1,4,3,0.3349542679612255,delta,1,2,3
P1-n4,D-dependent,0,20260228,coupled,0.1,5,0,0.17808952632021904,delta,1,2,3
P1-n4,D-dependent,0,20260228,coupled,0.1,5,1,0.0733783783783784,delta,1,2,3
P1-n4,D-dependent,0,20260228,coupled,0.1,5,2,0.35824673779517663,delta,1,2,3
P1-n4,D-dependent,0,20260228,coupled,0.1,5,3,0.390285357506226,delta,1,2,3
P1-n4,D-dependent,0,20260228,coupled,0.1,6,0,0.07808952632021915,delta,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.1,6,1,0.06969410017344478,delta,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.1,6,2,0.41700239739934386,delta,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.1,6,3,0.43521397610699225,delta,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.1,7,0,0.17808952632021915,sigma,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.1,7,1,0.07205116635857409,sigma,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.1,7,2,0.35984298189593,sigma,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.1,7,3,0.39001632542527687,sigma,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.1,8,0,0.07808952632021926,delta,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.1,8,1,0.0681870735966034,delta,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.1,8,2,0.41881490530845417,delta,0,1,3
